"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time"
"21",NA,"2023 Palmeiras","Série A","Luis Guilherme","BRA","FW,MF","16",19,4,576,6.4,0,0,0,0,0,0,0,0,0.7,0.7,1.2,1.9,35,28,54,0,0,0,0,0,0.12,0.19,0.31,0.12,0.31,"https://fbref.com/en/players/b7672d43/Luis-Guilherme",NA
"22",NA,"2023 Palmeiras","Série A","Fabinho","BRA","MF","20",24,3,587,6.5,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,8,44,7,0,0,0,0,0,0.1,0.01,0.12,0.1,0.12,"https://fbref.com/en/players/ff0e595c/Fabinho",NA
"23",NA,"2023 Palmeiras","Série A","García","BRA","DF","21",5,3,293,3.3,0,0,0,0,0,0,3,1,0,0,0.1,0.1,5,7,11,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,"https://fbref.com/en/players/45d071f4/Garcia",NA
"24",NA,"2023 Palmeiras","Série A","Marcelo Lomba","BRA","GK","36",3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/e4835e3c/Marcelo-Lomba",NA
"25",NA,"2023 Palmeiras","Série A","Kevin","BRA","FW,DF","20",7,2,232,2.6,0,0,0,0,0,0,2,0,0.6,0.6,0.3,0.9,14,8,22,0,0,0,0,0,0.22,0.11,0.33,0.22,0.33,"https://fbref.com/en/players/93508980/Kevin",NA
"26",NA,"2023 Palmeiras","Série A","Jailson Siqueira","BRA","MF,DF","27",8,1,163,1.8,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.6,0,6,3,0,0.55,0.55,0,0.55,0.2,0.15,0.36,0.2,0.36,"https://fbref.com/en/players/b4819112/Jailson-Siqueira",NA
"27",NA,"2023 Palmeiras","Série A","Rafael Navarro","BRA","FW","22",3,1,125,1.4,1,0,1,1,0,0,1,0,1.2,1.2,0.1,1.3,2,6,8,0.72,0,0.72,0.72,0.72,0.86,0.06,0.92,0.86,0.92,"https://fbref.com/en/players/4b5ab509/Rafael-Navarro",NA
"28",NA,"2023 Palmeiras","Série A","Bruno Tabata","BRA","MF,FW","25",5,1,124,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,11,19,0,0,0,0,0,0.28,0.05,0.33,0.28,0.33,"https://fbref.com/en/players/33fdf90d/Bruno-Tabata",NA
"29",NA,"2023 Palmeiras","Série A","Ian Custódio","BRA","DF","19",1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/4d92291e/Ian-Custodio",NA
"30",NA,"2023 Palmeiras","Série A","Giovani","BRA","FW","19",2,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,6,2,5,0,0,0,0,0,0.48,0,0.48,0.48,0.48,"https://fbref.com/en/players/a199bd5f/Giovani",NA
